iter	Passed	Remaining
202	5192	148279
203	5210	148050
204	5230	147851
205	5248	147614
206	5312	148686
207	5356	149165
208	5388	149302
209	5418	149403
210	5448	149481
211	5462	149138
212	5479	148885
213	5496	148606
214	5542	149144
215	5575	149298
216	5589	148968
217	5605	148662
218	5620	148363
219	5634	148033
220	5649	147741
221	5665	147458
222	5681	147178
223	5697	146916
224	5712	146613
225	5726	146295
226	5741	146028
227	5790	146583
228	5806	146319
229	5835	146386
230	5849	146076
231	5865	145840
232	5911	146306
233	5929	146099
234	5975	146590
235	5992	146371
236	6037	146809
237	6082	147266
238	6098	146990
239	6127	147060
240	6144	146824
241	6158	146529
242	6175	146314
243	6212	146557
244	6238	146551
245	6285	147014
246	6315	147092
247	6330	146822
248	6361	146920
249	6406	147358
250	6424	147140
251	6440	146911
252	6471	146998
253	6487	146759
254	6533	147186
255	6548	146934
256	6577	146974
257	6591	146697
258	6621	146765
259	6636	146504
260	6700	147339
261	6762	148103
262	6777	147842
263	6792	147586
264	6837	147973
265	6873	148169
266	6891	147963
267	6929	148210
268	6944	147960
269	6973	147984
270	6993	147838
271	7007	147560
272	7065	148211
273	7087	148122
274	7104	147900
275	7130	147878
276	7160	147931
277	7174	147679
278	7200	147649
279	7222	147547
280	7270	147975
281	7305	148132
282	7329	148061
283	7349	147925
284	7393	148257
285	7425	148359
286	7455	148403
287	7484	148451
288	7502	148265
289	7520	148077
290	7546	148055
291	7580	148181
292	7600	148039
293	7625	148000
294	7671	148360
295	7704	148472
296	7720	148254
297	7781	148885
298	7797	148674
299	7813	148452
300	7828	148219
301	7845	148021
302	7861	147816
303	7882	147684
304	7900	147521
305	7919	147361
306	7947	147385
307	7978	147455
308	8009	147511
309	8038	147542
310	8053	147318
311	8070	147136
312	8099	147164
313	8118	147008
314	8135	146833
315	8178	147113
316	8209	147180
317	8224	146946
318	8271	147299
319	8287	147094
320	8316	147135
321	8337	147022
322	8362	146986
323	8377	146760
324	8409	146839
325	8424	146625
326	8439	146405
327	8453	146189
328	8471	146025
329	8486	145812
330	8517	145881
331	8564	146222
332	8594	146268
333	8627	146359
334	8658	146416
335	8688	146456
336	8724	146608
337	8767	146869
338	8814	147195
339	8863	147559
340	8895	147626
341	8943	147954
342	8971	147956
343	8992	147847
344	9021	147875
345	9046	147831
346	9092	148130
347	9107	147922
348	9140	148001
349	9160	147877
350	9202	148110
351	9234	148173
352	9276	148402
353	9320	148660
354	9336	148455
355	9349	148232
356	9365	148043
357	9381	147842
358	9403	147753
359	9422	147624
360	9440	147471
361	9466	147434
362	9510	147689
363	9541	147732
364	9560	147596
365	9587	147581
366	9605	147429
367	9665	147918
368	9695	147959
369	9715	147835
370	9759	148070
371	9773	147857
372	9820	148143
373	9883	148682
374	9902	148533
375	9918	148361
376	9957	148517
377	9974	148349
378	9989	148157
379	10004	147964
380	10019	147765
381	10033	147562
382	10051	147419
383	10067	147237
384	10083	147060
385	10099	146890
386	10118	146751
387	10132	146558
388	10162	146581
389	10176	146391
390	10222	146638
391	10240	146505
392	10271	146550
393	10302	146589
394	10332	146611
395	10345	146407
396	10361	146240
397	10376	146055
398	10389	145849
399	10407	145708
400	10423	145534
401	10439	145372
402	10469	145404
403	10483	145215
404	10517	145298
405	10533	145132
406	10566	145204
407	10605	145363
408	10628	145291
409	10657	145308
410	10687	145334
411	10723	145440
412	10753	145471
413	10781	145465
414	10799	145342
415	10817	145208
416	10846	145214
417	10862	145058
418	10878	144901
419	10894	144743
420	10919	144709
421	10936	144564
422	10957	144463
423	10980	144400
424	11016	144508
425	11060	144726
426	11090	144747
427	11135	144970
428	11152	144821
429	11167	144658
430	11233	145150
431	11260	145139
432	11289	145152
433	11306	145002
434	11322	144848
435	11376	145183
436	11394	145047
437	11421	145042
438	11440	144920
439	11459	144809
440	11478	144685
441	11512	144768
442	11530	144644
443	11569	144772
444	11587	144646
445	11616	144657
446	11630	144482
447	11644	144305
448	11658	144129
449	11672	143961
450	11692	143867
451	11705	143677
452	11719	143503
453	11739	143402
454	11754	143244
455	11770	143102
456	11805	143190
457	11832	143180
458	11863	143214
459	11893	143237
460	11909	143092
461	11936	143086
462	11954	142960
463	11970	142814
464	11985	142664
465	12007	142593
466	12067	142973
467	12126	143337
468	12141	143186
469	12173	143236
470	12188	143082
471	12204	142934
472	12222	142816
473	12240	142698
474	12282	142861
475	12296	142702
476	12330	142772
477	12376	142976
478	12406	142998
479	12425	142896
480	12444	142789
481	12516	143295
482	12547	143320
483	12563	143187
484	12578	143032
485	12608	143050
486	12623	142899
487	12641	142787
488	12670	142793
489	12701	142823
490	12714	142657
491	12749	142729
492	12777	142735
493	12795	142614
494	12842	142822
495	12886	143003
496	12902	142858
497	12916	142703
498	12933	142578
499	12951	142466
500	12997	142659
501	13011	142508
502	13025	142352
503	13043	142231
504	13105	142604
505	13120	142456
506	13134	142301
507	13151	142185
508	13172	142100
509	13217	142286
510	13260	142443
511	13278	142324
512	13295	142204
513	13339	142379
514	13374	142447
515	13389	142301
516	13417	142298
517	13446	142308
518	13492	142491
519	13509	142364
520	13529	142281
521	13572	142434
522	13602	142452
523	13616	142299
524	13647	142319
525	13662	142182
526	13693	142210
527	13727	142270
528	13774	142454
529	13803	142458
530	13818	142324
531	13834	142191
532	13912	142696
533	13945	142741
534	13991	142922
535	14028	143012
536	14052	142961
537	14083	142982
538	14114	143000
539	14144	143012
540	14159	142881
541	14190	142903
542	14208	142790
543	14253	142949
544	14299	143127
545	14315	142997
546	14331	142871
547	14345	142722
548	14395	142929
549	14438	143067
550	14466	143065
551	14480	142918
552	14494	142767
553	14508	142624
554	14529	142549
555	14543	142400
556	14560	142284
557	14576	142160
558	14611	142217
559	14654	142359
560	14670	142232
561	14687	142114
562	14715	142110
563	14732	141995
564	14746	141857
565	14764	141747
566	14809	141901
567	14828	141809
568	14845	141696
569	14873	141687
570	14889	141565
571	14917	141562
572	14933	141433
573	14946	141287
574	14964	141187
575	15001	141261
576	15028	141248
577	15059	141271
578	15103	141412
579	15118	141280
580	15138	141194
581	15165	141180
582	15180	141052
583	15198	140948
584	15244	141105
585	15261	140998
586	15282	140927
587	15310	140921
588	15338	140908
589	15367	140912
590	15382	140782
591	15397	140662
592	15413	140540
593	15430	140428
594	15475	140577
595	15493	140483
596	15538	140628
597	15584	140785
598	15631	140941
599	15644	140802
600	15662	140697
601	15694	140731
602	15713	140637
603	15737	140593
604	15788	140796
605	15832	140927
606	15862	140935
607	15879	140822
608	15925	140977
609	15941	140861
610	15970	140856
611	15988	140765
612	16016	140752
613	16032	140633
614	16045	140496
615	16063	140395
616	16079	140283
617	16094	140161
618	16107	140020
619	16144	140091
620	16174	140104
621	16220	140243
622	16266	140394
623	16281	140272
624	16327	140415
625	16344	140315
626	16364	140231
627	16387	140180
628	16402	140058
629	16419	139953
630	16448	139957
631	16463	139837
632	16482	139749
633	16497	139633
634	16528	139642
635	16573	139781
636	16586	139647
637	16603	139542
638	16619	139433
639	16634	139312
640	16681	139461
641	16695	139337
642	16712	139233
643	16728	139125
644	16777	139294
645	16838	139560
646	16853	139434
647	16868	139318
648	16883	139202
649	16898	139088
650	16914	138980
651	16929	138864
652	16959	138868
653	16975	138763
654	17021	138902
655	17056	138946
656	17086	138956
657	17132	139090
658	17168	139142
659	17208	139230
660	17225	139129
661	17240	139017
662	17259	138936
663	17288	138936
664	17305	138833
665	17350	138958
666	17396	139094
667	17447	139264
668	17494	139405
669	17524	139410
670	17565	139499
671	17578	139371
672	17595	139276
673	17610	139160
674	17625	139042
675	17640	138934
676	17657	138834
677	17672	138718
678	17687	138611
679	17707	138536
680	17737	138538
681	17781	138653
682	17812	138668
683	17842	138673
684	17857	138557
685	17874	138465
686	17906	138483
687	17925	138403
688	17953	138392
689	17968	138282
690	18026	138495
691	18046	138429
692	18061	138313
693	18091	138316
694	18105	138204
695	18158	138381
696	18201	138480
697	18230	138482
698	18261	138493
699	18292	138501
700	18324	138518
701	18355	138527
702	18384	138524
703	18399	138416
704	18414	138306
705	18431	138207
706	18446	138104
707	18477	138107
708	18492	138004
709	18542	138151
710	18586	138264
711	18601	138152
712	18618	138056
713	18680	138297
714	18711	138309
715	18759	138443
716	18790	138449
717	18819	138448
718	18851	138460
719	18896	138573
720	18960	138825
721	18980	138751
722	19023	138848
723	19052	138843
724	19083	138848
725	19099	138748
726	19129	138744
727	19192	138984
728	19206	138872
729	19223	138775
730	19241	138694
731	19258	138600
732	19300	138682
733	19330	138683
734	19346	138584
735	19361	138475
736	19380	138399
737	19412	138409
738	19440	138395
739	19456	138296
740	19471	138195
741	19503	138206
742	19517	138093
743	19532	137989
744	19593	138209
745	19610	138116
746	19640	138114
747	19655	138009
748	19669	137896
749	19685	137795
750	19702	137704
751	19748	137816
752	19763	137714
753	19780	137626
754	19826	137736
755	19855	137726
756	19871	137632
757	19902	137638
758	19917	137532
759	19947	137530
760	19963	137438
761	19998	137467
762	20026	137457
763	20043	137367
764	20078	137399
765	20096	137314
766	20140	137409
767	20180	137482
768	20195	137380
769	20212	137290
770	20227	137184
771	20269	137262
772	20289	137199
773	20319	137198
774	20334	137091
775	20349	136992
776	20364	136891
777	20412	137013
778	20429	136920
779	20459	136923
780	20490	136928
781	20521	136931
782	20551	136933
783	20582	136935
784	20597	136833
785	20614	136748
786	20645	136751
787	20675	136755
788	20705	136753
789	20751	136856
790	20781	136850
791	20796	136750
792	20827	136758
793	20840	136644
794	20861	136585
795	20906	136677
796	20920	136576
797	20936	136482
798	20956	136414
799	20974	136333
800	20999	136301
801	21015	136207
802	21030	136107
803	21045	136013
804	21061	135915
805	21077	135824
806	21092	135729
807	21122	135727
808	21139	135641
809	21169	135644
810	21187	135564
811	21207	135498
812	21233	135470
813	21262	135466
814	21283	135402
815	21298	135307
816	21325	135286
817	21354	135277
818	21369	135186
819	21386	135101
820	21404	135020
821	21421	134939
822	21449	134924
823	21463	134826
824	21477	134723
825	21494	134640
826	21509	134547
827	21525	134457
828	21541	134365
829	21556	134276
830	21572	134185
831	21635	134391
832	21696	134583
833	21716	134519
834	21758	134587
835	21773	134492
836	21789	134405
837	21835	134503
838	21854	134432
839	21872	134356
840	21891	134288
841	21912	134231
842	21928	134144
843	21943	134053
844	21960	133971
845	22004	134055
846	22036	134064
847	22051	133972
848	22067	133887
849	22084	133804
850	22145	133991
851	22160	133896
852	22176	133813
853	22207	133819
854	22242	133845
855	22258	133757
856	22282	133723
857	22308	133694
858	22330	133642
859	22344	133550
860	22359	133454
861	22375	133369
862	22389	133270
863	22406	133194
864	22419	133090
865	22445	133066
866	22464	133001
867	22484	132940
868	22513	132931
869	22527	132837
870	22545	132759
871	22574	132755
872	22589	132662
873	22606	132586
874	22621	132497
875	22635	132402
876	22651	132320
877	22669	132245
878	22713	132327
879	22766	132460
880	22793	132438
881	22822	132434
882	22837	132344
883	22861	132305
884	22880	132241
885	22898	132170
886	22930	132181
887	22960	132177
888	22976	132093
889	23007	132100
890	23022	132010
891	23037	131922
892	23070	131937
893	23117	132032
894	23147	132029
895	23160	131933
896	23177	131858
897	23194	131780
898	23239	131860
899	23252	131765
900	23271	131701
901	23287	131619
902	23334	131712
903	23350	131631
904	23394	131704
905	23409	131618
906	23424	131535
907	23439	131447
908	23456	131372
909	23486	131370
910	23500	131280
911	23517	131202
912	23535	131133
913	23580	131213
914	23593	131116
915	23606	131022
916	23625	130957
917	23640	130873
918	23656	130795
919	23672	130713
920	23701	130708
921	23717	130623
922	23734	130550
923	23753	130488
924	23780	130473
925	23795	130387
926	23813	130316
927	23842	130309
928	23856	130222
929	23873	130146
930	23903	130146
931	23916	130052
932	23934	129985
933	23954	129930
934	23980	129903
935	23998	129835
936	24013	129755
937	24043	129750
938	24106	129930
939	24136	129925
940	24167	129928
941	24184	129855
942	24227	129925
943	24242	129843
944	24291	129939
945	24322	129941
946	24336	129854
947	24352	129775
948	24371	129718
949	24397	129692
950	24445	129784
951	24475	129780
952	24492	129711
953	24539	129796
954	24553	129710
955	24589	129739
956	24616	129717
957	24662	129798
958	24677	129716
959	24692	129637
960	24721	129629
961	24738	129556
962	24768	129553
963	24786	129485
964	24803	129413
965	24831	129402
966	24846	129320
967	24892	129397
968	24917	129372
969	24939	129327
970	24970	129329
971	25017	129411
972	25047	129408
973	25062	129328
974	25080	129259
975	25109	129252
976	25126	129182
977	25139	129091
978	25157	129023
979	25185	129012
980	25200	128933
981	25217	128860
982	25233	128787
983	25264	128786
984	25293	128778
985	25309	128705
986	25323	128620
987	25339	128545
988	25353	128461
989	25369	128384
990	25387	128321
991	25415	128305
992	25433	128241
993	25454	128195
994	25491	128223
995	25507	128151
996	25522	128072
997	25539	128002
998	25552	127918
999	25570	127851
1000	25599	127846
1001	25615	127769
1002	25633	127709
1003	25664	127707
1004	25712	127794
1005	25741	127784
1006	25757	127712
1007	25772	127634
1008	25802	127631
1009	25834	127639
