iter	RMSE
202	0.3866184785
203	0.3865185413
204	0.3864056016
205	0.3863781802
206	0.3863163614
207	0.3862625919
208	0.3861901927
209	0.3861267208
210	0.3860401403
211	0.3860077751
212	0.3859700588
213	0.3859194276
214	0.385817751
215	0.3856885718
216	0.3856248847
217	0.385566779
218	0.3854556154
219	0.3854452018
220	0.3854212514
221	0.3853752456
222	0.3852606512
223	0.3851990325
224	0.385077063
225	0.3849949786
226	0.3848468174
227	0.3847358289
228	0.3846846567
229	0.38463739
230	0.3845987676
231	0.3845244294
232	0.3844755448
233	0.3843859021
234	0.3843064445
235	0.3842503643
236	0.3841806322
237	0.3840948204
238	0.3840289524
239	0.3839627187
240	0.3838813622
241	0.3838113695
242	0.3837710681
243	0.3837264167
244	0.3836838303
245	0.3836158408
246	0.3835023954
247	0.383471147
248	0.3834174763
249	0.38334541
250	0.3832810325
251	0.3832195335
252	0.3831789909
253	0.3831453202
254	0.3830972831
255	0.3830140332
256	0.3829852676
257	0.3828701386
258	0.3828408728
259	0.3828160784
260	0.3827236719
261	0.3827000146
262	0.3826052522
263	0.3825535053
264	0.3825095493
265	0.3824132491
266	0.382284204
267	0.3822501762
268	0.3821829696
269	0.3821042962
270	0.3820672642
271	0.3819970084
272	0.3819359087
273	0.3818634534
274	0.3817918903
275	0.3817122457
276	0.3816656373
277	0.3815658448
278	0.3815020669
279	0.3814801547
280	0.3814149201
281	0.3813424374
282	0.3812827617
283	0.3812465841
284	0.3811680071
285	0.381126647
286	0.3810750774
287	0.3809466586
288	0.3808270069
289	0.3807624872
290	0.3807272291
291	0.3806751852
292	0.3806178032
293	0.3805280289
294	0.3804335214
295	0.3803249255
296	0.3802831862
297	0.3801896567
298	0.380164325
299	0.3800794517
300	0.3800106574
301	0.3799635014
302	0.3799054071
303	0.3797809723
304	0.3797256928
305	0.3796335729
306	0.3795451097
307	0.3794602482
308	0.3793672079
309	0.3793407559
310	0.3792676021
311	0.3791841988
312	0.3791610535
313	0.379044374
314	0.3789358994
315	0.3788844608
316	0.3788202955
317	0.3787249687
318	0.3787076019
319	0.3785699663
320	0.3785268545
321	0.3784752319
322	0.3784189852
323	0.3783385097
324	0.3783104716
325	0.3782458197
326	0.3781975189
327	0.3781615116
328	0.3781012236
329	0.3780449082
330	0.3779663216
331	0.3778844935
332	0.3777801163
333	0.3777013457
334	0.3776452145
335	0.3776038438
336	0.3774952894
337	0.3774193228
338	0.3773489185
339	0.3773069342
340	0.3772408619
341	0.3771601376
342	0.3770939147
343	0.3770454049
344	0.3769745982
345	0.3769533225
346	0.3769105221
347	0.3768135559
348	0.3766703612
349	0.3765900349
350	0.3765467742
351	0.3764691793
352	0.3764219938
353	0.3763087891
354	0.3762698747
355	0.3762491125
356	0.3762311862
357	0.3762017574
358	0.3760965379
359	0.3760315491
360	0.3759556312
361	0.3759317641
362	0.3759091526
363	0.3758280408
364	0.3757220399
365	0.3756552173
366	0.3756133652
367	0.3755815097
368	0.3755276854
369	0.375488019
370	0.3753887316
371	0.3753603209
372	0.3753010129
373	0.3752610788
374	0.3752372154
375	0.375189631
376	0.3751326656
377	0.3750253248
378	0.3749799229
379	0.3749375453
380	0.3748804993
381	0.3748493406
382	0.3747841336
383	0.3747392322
384	0.3746437656
385	0.3746055172
386	0.3745754434
387	0.3745255523
388	0.3745238766
389	0.3744662384
390	0.3744073232
391	0.3742762925
392	0.3741801179
393	0.3741552985
394	0.3741154664
395	0.3740881257
396	0.3740633238
397	0.3740396182
398	0.374010712
399	0.373968398
400	0.3738509353
401	0.3737777466
402	0.3736762651
403	0.3735932474
404	0.3735557824
405	0.3735464288
406	0.3734195644
407	0.3733090744
408	0.3732206922
409	0.3731221534
410	0.3730825405
411	0.373060199
412	0.3730078934
413	0.3729799401
414	0.3729279177
415	0.3728565795
416	0.3727963623
417	0.3727663123
418	0.3727109568
419	0.3726917024
420	0.3726316766
421	0.3726001319
422	0.3725474523
423	0.3725212608
424	0.3724959313
425	0.3724064534
426	0.3723664393
427	0.3723117929
428	0.3722578931
429	0.3722222274
430	0.3721369444
431	0.3720911305
432	0.3720534881
433	0.3720103787
434	0.3719496815
435	0.3719359386
436	0.3719112475
437	0.3718871904
438	0.3718661352
439	0.3718230673
440	0.3717758451
441	0.371686055
442	0.3716449935
443	0.3715826556
444	0.3715336434
445	0.3715124239
446	0.3714808721
447	0.3714655902
448	0.3714286059
449	0.3713550205
450	0.3713264765
451	0.3713155314
452	0.3713153832
453	0.3712726531
454	0.3712422924
455	0.3712054268
456	0.3711598913
457	0.371149371
458	0.3711288395
459	0.3710896652
460	0.3710445574
461	0.37099589
462	0.3708981049
463	0.3708839754
464	0.3708163725
465	0.3707513312
466	0.3707110438
467	0.3706615151
468	0.3706291133
469	0.3705968174
470	0.3705137294
471	0.3704741468
472	0.3704455665
473	0.3704299383
474	0.3703850688
475	0.3702922189
476	0.3702594242
477	0.3702112344
478	0.3701037318
479	0.3700540658
480	0.3700425684
481	0.3700314546
482	0.3699901686
483	0.3699543899
484	0.3699436188
485	0.3699235427
486	0.3698674817
487	0.369840812
488	0.3698268613
489	0.3698087108
490	0.3698005313
491	0.3697764477
492	0.36970871
493	0.3696852469
494	0.3696597628
495	0.3696226742
496	0.369555532
497	0.3694882972
498	0.369460035
499	0.3694151325
500	0.3693875869
501	0.3693421849
502	0.3692670828
503	0.3692584095
504	0.3692429272
505	0.3691979747
506	0.369191108
507	0.3691254798
508	0.36911021
509	0.3690664941
510	0.3690186297
511	0.3690038031
512	0.3689634508
513	0.3688993148
514	0.3688191292
515	0.3688034935
516	0.3687543457
517	0.368730632
518	0.3686837378
519	0.3686713892
520	0.3686339505
521	0.3686150598
522	0.3685582434
523	0.3685387987
524	0.3684299727
525	0.3684070013
526	0.3683546175
527	0.3683042863
528	0.3682657892
529	0.3682488173
530	0.3682328764
531	0.3682021524
532	0.3681641146
533	0.3681322819
534	0.3680780485
535	0.3680398052
536	0.3679841881
537	0.3679383312
538	0.367923987
539	0.3678490873
540	0.3678161122
541	0.3677695216
542	0.3677162746
543	0.3676731204
544	0.3676398466
545	0.3676072204
546	0.3675389995
547	0.3675045004
548	0.3674769481
549	0.3674442369
550	0.3674002902
551	0.3673215591
552	0.3673150212
553	0.367281609
554	0.3672650966
555	0.3672511235
556	0.3672316067
557	0.3671696832
558	0.3670849509
559	0.3670376782
560	0.3670161038
561	0.3669687485
562	0.3669429352
563	0.3669076943
564	0.3668780915
565	0.3668086988
566	0.3667833392
567	0.3666839949
568	0.3666571977
569	0.3665979632
570	0.3665562968
571	0.3665200271
572	0.3664583434
573	0.3664390757
574	0.3663797291
575	0.3662841319
576	0.3662354918
577	0.3661924504
578	0.3661770963
579	0.3661354017
580	0.3661088793
581	0.3660845048
582	0.3660267345
583	0.3659815533
584	0.3659329243
585	0.3659227717
586	0.3658763102
587	0.3657961202
588	0.3657502891
589	0.3657420505
590	0.365719824
591	0.3657064153
592	0.3656196105
593	0.365598189
594	0.3655697401
595	0.3655256677
596	0.3655166882
597	0.3654688143
598	0.3654060252
599	0.3653725756
600	0.3653604327
601	0.3653406008
602	0.3653071857
603	0.3652943529
604	0.3652615658
605	0.3651757631
606	0.3651167567
607	0.3650807755
608	0.3650044902
609	0.3649203993
610	0.3649031154
611	0.36489083
612	0.3648564329
613	0.3648481564
614	0.3647442088
615	0.3647103431
616	0.3646724166
617	0.364661463
618	0.3646389349
619	0.3645861262
620	0.3645299547
621	0.3644829315
622	0.3644659348
623	0.3644508674
624	0.3644416726
625	0.3644130801
626	0.3643147883
627	0.3643028085
628	0.3642820974
629	0.3642397978
630	0.3641745432
631	0.3641002865
632	0.3640725522
633	0.3640378797
634	0.3639985711
635	0.3639097567
636	0.3638965319
637	0.3638807179
638	0.3638252582
639	0.3638164251
640	0.3637836483
641	0.3637554965
642	0.3637261404
643	0.3636410027
644	0.3635803479
645	0.3635560216
646	0.3635158106
647	0.3634496911
648	0.3634224613
649	0.3633699773
650	0.3633536674
651	0.3633087923
652	0.363284962
653	0.3632468344
654	0.3632068184
655	0.3631834699
656	0.3631461421
657	0.3631087583
658	0.363074466
659	0.363053599
660	0.3630349887
661	0.3630300336
662	0.3629783433
663	0.3629484346
664	0.3628692018
665	0.3628339771
666	0.3627399736
667	0.3627249794
668	0.3626834484
669	0.3626565946
670	0.3626456994
671	0.3626394757
672	0.3625779487
673	0.3625646546
674	0.3624867486
675	0.3624759901
676	0.3624239177
677	0.3624121968
678	0.3623984317
679	0.3623573483
680	0.3623234454
681	0.3622839602
682	0.3622379518
683	0.3622057365
684	0.3621435247
685	0.3620853986
686	0.3620595728
687	0.3620102366
688	0.3619969013
689	0.3619887893
690	0.3619843524
691	0.3619709594
692	0.3619513742
693	0.3619293415
694	0.3619152027
695	0.36189815
696	0.3618460637
697	0.3618133383
698	0.3617807772
699	0.3617622178
700	0.3617404483
701	0.3617093036
702	0.3616767084
703	0.3616414298
704	0.3616086917
705	0.3615862118
706	0.3615525527
707	0.3615392167
708	0.3614956375
709	0.361450145
710	0.3614237575
711	0.3613538756
712	0.3613368007
713	0.3613039197
714	0.3612474485
715	0.3612173176
716	0.3611913448
717	0.3611635655
718	0.3610955753
719	0.3610827668
720	0.3610465306
721	0.3610207291
722	0.3610029948
723	0.3609817803
724	0.3609755552
725	0.3609485252
726	0.3609160443
727	0.3609065067
728	0.3608685964
729	0.3608369126
730	0.3608003969
731	0.3607447884
732	0.3606856593
733	0.3606698314
734	0.360582815
735	0.36053522
736	0.3604633411
737	0.3603796305
738	0.3603612944
739	0.3603036933
740	0.3602467842
741	0.3602375655
742	0.3602242709
743	0.3602114237
744	0.3601985801
745	0.3601806285
746	0.3601506905
747	0.3601403099
748	0.3601363379
749	0.3600846646
750	0.3600130138
751	0.360002032
752	0.3599453822
753	0.359914366
754	0.3598762657
755	0.3598685892
756	0.3598395939
757	0.3598137181
758	0.359792968
759	0.3597796746
760	0.3597366157
761	0.3597156817
762	0.3596450502
763	0.3596255558
764	0.3596108917
765	0.3595928802
766	0.3595803489
767	0.359555231
768	0.3595386373
769	0.3595005162
770	0.3594813903
771	0.3594361557
772	0.3593834986
773	0.3593531088
774	0.3593301718
775	0.3593151043
776	0.3592876616
777	0.3592513341
778	0.3592066926
779	0.3591814698
780	0.3591511308
781	0.3591326475
782	0.3591009961
783	0.3590523781
784	0.3589871107
785	0.3589274179
786	0.3588806842
787	0.3588300574
788	0.3587999628
789	0.3587838627
790	0.3587590888
791	0.3587427761
792	0.3587224069
793	0.3586997352
794	0.35867329
795	0.3586474198
796	0.3586401514
797	0.3585877089
798	0.3585638386
799	0.3585315467
800	0.358477172
801	0.358450203
802	0.3584284468
803	0.3584032728
804	0.3583748279
805	0.3583272712
806	0.3583120553
807	0.3582690493
808	0.3582416408
809	0.3582265502
810	0.3581900995
811	0.3581627962
812	0.3581372746
813	0.3580760611
814	0.3580624175
815	0.3580282034
816	0.3580046364
817	0.3579762204
818	0.3579494819
819	0.3579132169
820	0.3578502805
821	0.3578239041
822	0.3577906905
823	0.3577685488
824	0.3577395143
825	0.3577133349
826	0.3576739897
827	0.3576513556
828	0.3576287378
829	0.3575970427
830	0.3575829748
831	0.3575630194
832	0.3575328016
833	0.3574990476
834	0.3574594228
835	0.3574229765
836	0.3573633712
837	0.3573256554
838	0.3572948855
839	0.3572486429
840	0.3572255329
841	0.3571915788
842	0.3571444941
843	0.3571157636
844	0.3570811359
845	0.3570704705
846	0.3570464819
847	0.3570230743
848	0.3570019599
849	0.3569892091
850	0.3569679228
851	0.3569564372
852	0.3569166764
853	0.3568860086
854	0.3568557506
855	0.356812513
856	0.3568009934
857	0.3567806742
858	0.3567254946
859	0.3566467011
860	0.3566240817
861	0.3565945233
862	0.356584237
863	0.3565606943
864	0.3565477942
865	0.3565103022
866	0.3564856579
867	0.356453909
868	0.3563979186
869	0.3563759876
870	0.3563494517
871	0.3563188454
872	0.3563100579
873	0.3562558059
874	0.3562287082
875	0.3561922557
876	0.3561695981
877	0.3561343317
878	0.3561169669
879	0.3560926041
880	0.3560576882
881	0.3560328958
882	0.356018468
883	0.3559660745
884	0.3559384995
885	0.3558814756
886	0.3558510925
887	0.3558218331
888	0.3557859589
889	0.3557474832
890	0.3557346241
891	0.3557169392
892	0.3556977837
893	0.35567842
894	0.355662115
895	0.3556374332
896	0.3556208727
897	0.3555766758
898	0.3555657029
899	0.3555424668
900	0.3555135982
901	0.3554883435
902	0.3554654314
903	0.3554589095
904	0.3554361341
905	0.3554220621
906	0.3553949033
907	0.3553788389
908	0.3553537382
909	0.3553436413
910	0.3553007571
911	0.3552781103
912	0.3552607047
913	0.3552118394
914	0.3552026667
915	0.3551873168
916	0.3551723166
917	0.3551420693
918	0.3551031818
919	0.3550725965
920	0.3550559086
921	0.3550234939
922	0.3550050468
923	0.3549547676
924	0.3549046068
925	0.354848909
926	0.3548233323
927	0.3548020762
928	0.354784686
929	0.3547397784
930	0.3547270964
931	0.3547176797
932	0.3546942941
933	0.3546452749
934	0.3546186363
935	0.3545636932
936	0.3545212776
937	0.3545002987
938	0.3544829787
939	0.3544553166
940	0.3544171798
941	0.3544041407
942	0.3543832691
943	0.3543639929
944	0.3543340567
945	0.3543156539
946	0.3542987451
947	0.3542864553
948	0.3542635086
949	0.3542169026
950	0.3541427397
951	0.3541189396
952	0.3540764402
953	0.354056819
954	0.354042035
955	0.3540272534
956	0.353979553
957	0.3539717705
958	0.3539282433
959	0.3538816967
960	0.3538633621
961	0.3538431318
962	0.3538077545
963	0.3537936733
964	0.3537647006
965	0.35371898
966	0.3536906434
967	0.3536605917
968	0.3536312842
969	0.3535883586
970	0.3535607378
971	0.3535052283
972	0.3534814939
973	0.3534679548
974	0.3534260398
975	0.3533957397
976	0.3533860822
977	0.3533756739
978	0.3533417123
979	0.3533290249
980	0.3532750627
981	0.3532569604
982	0.3532451399
983	0.353212348
984	0.3531947087
985	0.3531703822
986	0.353150684
987	0.3531292744
988	0.3531063559
989	0.3531021131
990	0.353081123
991	0.3530600201
992	0.3530458949
993	0.3529948047
994	0.3529925835
995	0.3529806977
996	0.3529559245
997	0.3529121796
998	0.3528877807
999	0.3528643962
1000	0.3528309721
1001	0.3528139798
1002	0.352785033
1003	0.3527525999
1004	0.3527412045
1005	0.3527351876
1006	0.3526915964
1007	0.3526809341
1008	0.3526580802
1009	0.3526261391
